order,P,T,L,ST,m,dgr,M_v=8e+6,,,,t
42,47285169.17,32.09875784,1.505572034,2.62E-07,6.595728643,-4729.169197,,0.005590818,0.035463027,0.08072266,1.585352437
43,48100374.21,32.13436987,1.472925025,2.50E-07,6.630150754,-4641.649337,,0.005544187,0.034188182,0.081864136,1.667216573
44,48899886.64,32.16972874,1.442607788,2.40E-07,6.664572864,-4557.832049,,0.005498698,0.032971736,0.082902389,1.750118961
45,49683933.41,32.20482036,1.414417296,2.30E-07,6.698994975,-4477.460605,,0.005451164,0.031814404,0.083841723,1.833960684
46,50452681.19,32.23964315,1.388179915,2.21E-07,6.733417085,-4400.305564,,0.005403538,0.030709769,0.084681993,1.918642677
47,51206327.05,32.2741903,1.363736446,2.12E-07,6.767839196,-4326.153177,,0.005355,0.029655504,0.085425493,2.004068169
48,51945051.61,32.30845976,1.340946689,2.04E-07,6.802261307,-4254.820268,,0.005306296,0.028647701,0.086074189,2.090142358
49,52669043.79,32.34244858,1.319683373,1.97E-07,6.836683417,-4186.123529,,0.005257286,0.027683721,0.086630034,2.176772393
50,53378493.87,32.37615417,1.299832247,1.90E-07,6.871105528,-4119.911769,,0.005208024,0.026760898,0.087095378,2.26386777
51,54073596.78,32.40957324,1.281289046,1.84E-07,6.905527638,-4056.028863,,0.005158401,0.025876909,0.087472519,2.351340289
52,54754548.21,32.44270328,1.263959634,1.78E-07,6.939949749,-3994.349613,,0.005108539,0.025029485,0.087764217,2.439104506
53,55421535.06,32.47554517,1.247760295,1.73E-07,6.974371859,-3934.750266,,0.005058964,0.024216192,0.087973801,2.527078307
54,56074783.65,32.50808893,1.232609575,1.68E-07,7.00879397,-3877.101845,,0.005007994,0.023436505,0.088102986,2.615181293
55,56714446.36,32.54034329,1.218441607,1.63E-07,7.04321608,-3821.315608,,0.004958516,0.02268597,0.088155028,2.703336321
56,57340716.89,32.5723065,1.205191381,1.59E-07,7.077638191,-3767.293794,,0.004908911,0.021964439,0.088132234,2.791468555
57,57953844.66,32.6039651,1.19279467,1.55E-07,7.112060302,-3714.93829,,0.004857383,0.0212723,0.08803806,2.879506615
58,58553952.58,32.63533505,1.181204533,1.51E-07,7.146482412,-3664.168633,,0.004808445,0.020603732,0.087875726,2.967382341
59,59141273.67,32.66640537,1.170367051,1.47E-07,7.180904523,-3614.912158,,0.004757963,0.019961242,0.087646914,3.055029255
60,59715966.31,32.69718458,1.160240368,1.44E-07,7.215326633,-3567.089883,,0.004708924,0.019341054,0.087356105,3.142385359
61,60278251.43,32.72766381,1.150778829,1.40E-07,7.249748744,-3520.636777,,0.004658664,0.018744152,0.087004171,3.22938953
62,60828303.51,32.7578471,1.14194562,1.37E-07,7.284170854,-3475.491146,,0.004609157,0.018167916,0.086595637,3.315985167
63,61366305.55,32.78773492,1.133705258,1.34E-07,7.318592965,-3431.598286,,0.004559853,0.01761166,0.086132475,3.402117642
64,61892446.45,32.81732727,1.126024624,1.32E-07,7.353015075,-3388.888001,,0.004510683,0.017074665,0.08561799,3.487735632
65,62406896.95,32.84662776,1.118874434,1.29E-07,7.387437186,-3347.323135,,0.004462188,0.016555496,0.085054648,3.57279028
66,62909850.56,32.8756329,1.112224734,1.27E-07,7.421859296,-3306.851967,,0.004413292,0.016054094,0.084444052,3.657234332
67,63401480.27,32.90434742,1.10605097,1.24E-07,7.456281407,-3267.425836,,0.004365237,0.01556906,0.083791334,3.741025666
68,63882106.67,32.93272247,1.100312027,1.22E-07,7.490703518,-3229.005567,,0.004309891,0.015104328,0.083085324,3.82411099
69,64351578.81,32.96086876,1.095022352,1.20E-07,7.525125628,-3191.54918,,0.004271476,0.014644465,0.082367857,3.906478847
70,64810296.58,32.98871225,1.090135353,1.18E-07,7.559547739,-3155.019262,,0.004221936,0.01420616,0.081594423,3.98807327
71,65258385.99,33.01626906,1.085636568,1.16E-07,7.593969849,-3119.375595,,0.004174961,0.013780249,0.080790921,4.068864192
72,65696000.54,33.04354786,1.08151006,1.15E-07,7.62839196,-3084.59167,,0.004129409,0.01336708,0.079958316,4.148822508
73,66123357.59,33.0705303,1.077732292,1.13E-07,7.66281407,-3050.631375,,0.004081195,0.012968097,0.079089574,4.227912082
74,66540581.35,33.09723619,1.07429305,1.11E-07,7.697236181,-3017.461005,,0.004036088,0.012579994,0.078200584,4.306112666
75,66947863.69,33.12365251,1.071173237,1.10E-07,7.731658291,-2985.058235,,0.003989122,0.012204386,0.077279897,4.383392562
76,67345342.21,33.14979328,1.068362432,1.08E-07,7.766080402,-2953.391621,,0.003944382,0.011839229,0.076341463,4.459734025
77,67733184.81,33.17565528,1.065845932,1.07E-07,7.800502513,-2922.434802,,0.003899257,0.011485047,0.075379118,4.535113144
78,68111552.11,33.2012396,1.063611443,1.06E-07,7.834924623,-2892.164597,,0.003854403,0.011141256,0.074397197,4.60951034
79,68480610.11,33.22654278,1.061645832,1.05E-07,7.869346734,-2862.557182,,0.003809127,0.010807668,0.073395128,4.682905468
80,68840495.64,33.25157481,1.059940716,1.03E-07,7.903768844,-2833.589946,,0.003765454,0.010483108,0.072380693,4.755286161
81,69191364.01,33.27633602,1.058485329,1.02E-07,7.938190955,-2805.240035,,0.003721928,0.010167816,0.071351186,4.826637347
82,69533360.85,33.3008273,1.05726976,1.01E-07,7.972613065,-2777.489822,,0.003678631,0.009861224,0.070307352,4.8969447
83,69866643.88,33.32505065,1.056284989,1.00E-07,8.007035176,-2750.318827,,0.003635728,0.009563412,0.069253628,4.966198327
84,70191346.66,33.34901086,1.055523302,9.92E-08,8.041457286,-2723.706225,,0.003593633,0.009273431,0.068190298,5.034388625
85,70507641.65,33.37269356,1.054972138,9.82E-08,8.075879397,-2697.63673,,0.003549476,0.008992149,0.067109849,5.101498474
86,70815623.34,33.39612907,1.054631559,9.73E-08,8.110301508,-2672.093421,,0.003509949,0.008717125,0.066037532,5.167536006
87,71115475.47,33.41928961,1.054486404,9.65E-08,8.144723618,-2647.060319,,0.003466347,0.008450677,0.064941677,5.232477683
88,71407305.99,33.44220059,1.054536104,9.57E-08,8.179145729,-2622.519502,,0.003426633,0.008190459,0.063855417,5.296333099
89,71691261.37,33.46485584,1.054771887,9.49E-08,8.213567839,-2598.458034,,0.003386078,0.007937368,0.062760217,5.359093317
90,71967471.29,33.48725739,1.055187815,9.42E-08,8.24798995,-2574.861047,,0.003345907,0.007690753,0.061661606,5.420754923
91,72236082.31,33.50939884,1.055775798,9.34E-08,8.28241206,-2551.713,,0.003304859,0.007450911,0.060556475,5.481311398
92,72497200.88,33.53129888,1.056534651,9.28E-08,8.316834171,-2529.006262,,0.003266679,0.007216569,0.059460806,5.540772204
93,72750972.74,33.55294561,1.057455649,9.21E-08,8.351256281,-2506.723388,,0.003226797,0.006988663,0.058356096,5.599128299
94,72997520.03,33.57434425,1.058534615,9.15E-08,8.385678392,-2484.853586,,0.003187772,0.006766396,0.057254455,5.656382754
95,73236963.22,33.5955005,1.059767623,9.09E-08,8.420100503,-2463.383719,,0.003149664,0.006549586,0.056157036,5.71253979
96,73469427.56,33.61641129,1.061149232,9.04E-08,8.454522613,-2442.304694,,0.003111174,0.006338236,0.055058141,5.767597931
97,73695033.89,33.63708421,1.062676229,8.98E-08,8.488944724,-2421.604541,,0.003073881,0.006132102,0.053967279,5.82156521
98,73913900.8,33.65751678,1.064343522,8.93E-08,8.523366834,-2401.274391,,0.003036286,0.005931006,0.052876288,5.874441498
99,74126142.72,33.67771313,1.066147916,8.88E-08,8.557788945,-2381.300171,,0.002999375,0.005734728,0.051791233,5.926232732
100,74331875.97,33.69767505,1.068085564,8.83E-08,8.592211055,-2361.676271,,0.002962791,0.005543214,0.050711183,5.976943914
101,74531224.05,33.71738795,1.070148899,8.79E-08,8.626633166,-2342.394246,,0.002924109,0.005356557,0.049623771,6.026567685
102,74724272.97,33.73690162,1.072346082,8.75E-08,8.661055276,-2323.441676,,0.002892873,0.005173658,0.04858077,6.075148455
103,74911156.43,33.75617106,1.074662595,8.71E-08,8.695477387,-2304.812769,,0.002855026,0.004995709,0.047506211,6.122654666
104,75091976.68,33.77520865,1.077097963,8.67E-08,8.729899497,-2286.495463,,0.002819073,0.00482178,0.046447149,6.169101815
105,75266827.95,33.79405571,1.079658454,8.63E-08,8.764321608,-2268.485909,,0.002789295,0.00465158,0.045428852,6.214530667
106,75435844.1,33.81262252,1.082319621,8.60E-08,8.798743719,-2250.772975,,0.002746298,0.004486088,0.044340433,6.2588711
107,75599102.23,33.83099613,1.085099019,8.56E-08,8.833165829,-2233.352255,,0.002716238,0.004323723,0.043333326,6.302204426
108,75756711.73,33.84915114,1.087987369,8.53E-08,8.86758794,-2216.213126,,0.002682472,0.004165276,0.04231101,6.344515435
109,75908774.67,33.86708248,1.090980856,8.50E-08,8.90201005,-2199.350253,,0.002648012,0.004010486,0.041291582,6.385807018
110,76055386.37,33.88480905,1.094080763,8.47E-08,8.936432161,-2182.756253,,0.002616395,0.003859116,0.040296344,6.426103361
111,76196646.72,33.9023176,1.097281525,8.44E-08,8.970854271,-2166.42681,,0.002582873,0.003711227,0.039297094,6.465400455
112,76332652.34,33.91966452,1.100593283,8.42E-08,9.005276382,-2150.351652,,0.002557714,0.003566678,0.038357715,6.50375817
113,76463496.2,33.93675881,1.103992804,8.39E-08,9.039698492,-2134.528575,,0.002519185,0.003425321,0.037342328,6.541100498
114,76589270.4,33.95364617,1.107488052,8.37E-08,9.074120603,-2118.948931,,0.002487444,0.003287083,0.036377798,6.577478296
115,76710066.56,33.97032743,1.111076952,8.35E-08,9.108542714,-2103.608039,,0.002455873,0.003151905,0.035422722,6.612901018
116,76825974.13,33.9868055,1.114757784,8.33E-08,9.142964824,-2088.499813,,0.002424773,0.003019685,0.034479051,6.647380069
117,76937079.02,34.00308192,1.118528851,8.31E-08,9.177386935,-2073.621035,,0.002393948,0.00289029,0.033545365,6.680925434
118,77043472.74,34.01915964,1.122388481,8.29E-08,9.211809045,-2058.962354,,0.002363597,0.002763824,0.032624237,6.713549672
119,77145237.61,34.03504007,1.126335013,8.27E-08,9.246231156,-2044.520995,,0.002333498,0.002640009,0.031713101,6.745262773
120,77242459.94,34.05072482,1.130366811,8.26E-08,9.280653266,-2030.292361,,0.002303675,0.002518915,0.030813143,6.776075916
121,77335219.1,34.06621468,1.134482262,8.24E-08,9.315075377,-2016.270626,,0.00227401,0.002400326,0.029922776,6.805998691
122,77423599.34,34.08151217,1.138679812,8.23E-08,9.349497487,-2002.451546,,0.002244755,0.002284336,0.029044723,6.835043414
123,77507681.14,34.09661974,1.142958419,8.21E-08,9.383919598,-1988.831457,,0.002215897,0.002170816,0.028178556,6.86322197
124,77587540.58,34.11153958,1.147316548,8.20E-08,9.418341709,-1975.404518,,0.002187398,0.002059624,0.027323599,6.890545569
125,77663256.98,34.12627092,1.151752553,8.19E-08,9.452763819,-1962.165613,,0.002158825,0.001950816,0.02647786,6.917023428
126,77734909.31,34.14081937,1.15626584,8.18E-08,9.48718593,-1949.114158,,0.002131107,0.001844355,0.025647535,6.942670963
127,77802565.97,34.15518378,1.160854702,8.17E-08,9.52160804,-1936.243449,,0.002103257,0.001739945,0.024824733,6.967495696
128,77866312.17,34.16936792,1.165518078,8.16E-08,9.556030151,-1923.550499,,0.002075995,0.001637995,0.024017117,6.991512813
129,77926210.77,34.18337232,1.170254893,8.15E-08,9.590452261,-1911.03121,,0.002048842,0.001537907,0.023218106,7.01473092
130,77982333.66,34.19719653,1.175063367,8.15E-08,9.624874372,-1898.681168,,0.002021658,0.001439893,0.022428487,7.037159406
131,78034756.93,34.21084534,1.179943195,8.14E-08,9.659296482,-1886.498572,,0.001995204,0.001344039,0.021654098,7.058813504
132,78083544.39,34.22431916,1.184893051,8.13E-08,9.693718593,-1874.477502,,0.001968845,0.001250013,0.020888946,7.07970245
133,78128767.86,34.23761992,1.18991194,8.13E-08,9.728140704,-1862.616365,,0.001942796,0.001158,0.020135918,7.099838368
134,78170491.55,34.25074881,1.194998766,8.13E-08,9.762562814,-1850.912602,,0.001916952,0.00106779,0.01939325,7.119231618
135,78208785.15,34.26371147,1.200153416,8.12E-08,9.796984925,-1839.359737,,0.00189196,0.000979506,0.01866619,7.137897808
136,78243711.21,34.27650463,1.205373977,8.12E-08,9.831407035,-1827.958102,,0.001866519,0.00089295,0.017945276,7.155843085
137,78275341.76,34.28913657,1.21066084,8.12E-08,9.865829146,-1816.703541,,0.001842313,0.00080835,0.01724314,7.173086225
138,78303717.14,34.3015936,1.216010089,8.12E-08,9.900251256,-1805.591979,,0.001816139,0.000724883,0.016533812,7.189620037
139,78328920.99,34.31389263,1.221424016,8.11E-08,9.934673367,-1794.621542,,0.001792457,0.000643642,0.015853659,7.205473696
140,78351006.3,34.32602955,1.226900439,8.11E-08,9.969095477,-1783.788286,,0.001768202,0.000563833,0.015177724,7.22065142
141,78370034.87,34.3380079,1.23243934,8.11E-08,10.00351759,-1773.091229,,0.001744487,0.000485667,0.014514825,7.235166245
142,78386060.47,34.34982494,1.238038674,8.11E-08,10.0379397,-1762.527909,,0.001720397,0.000408931,0.013857795,7.24902404
143,78399146.66,34.36148693,1.243698957,8.12E-08,10.07236181,-1752.093912,,0.001697246,0.000333863,0.013216883,7.262240924
144,78409350.55,34.37299552,1.249419135,8.12E-08,10.10678392,-1741.787162,,0.001674354,0.000260289,0.012586684,7.274827608
145,78416721.08,34.38434748,1.255197916,8.12E-08,10.14120603,-1731.606166,,0.001651017,0.000187992,0.011961352,7.286788961
146,78421322.5,34.39554936,1.261035371,8.12E-08,10.17562814,-1721.546954,,0.001628657,0.000117355,0.011352761,7.298141722
147,78423200.8,34.40659948,1.266930241,8.13E-08,10.21005025,-1711.609517,,0.001606073,4.79023E-05,0.010750138,7.30889186
148,78422417.48,34.41750113,1.27288222,8.13E-08,10.24447236,-1701.788638,,0.001583986,-1.99769E-05,0.010160815,7.319052674
149,78419019.71,34.42825496,1.278890328,8.14E-08,10.27889447,-1692.085263,,0.001562018,-8.66548E-05,0.009580013,7.328632687
150,78413056.27,34.43886256,1.284954207,8.14E-08,10.31331658,-1682.493552,,0.0015403,-0.000152097,0.009008915,7.337641602
151,78404583.97,34.44932511,1.29107327,8.15E-08,10.34773869,-1673.014482,,0.001518773,-0.000216106,0.008448523,7.346090125
152,78393650.49,34.45964481,1.297246609,8.15E-08,10.3821608,-1663.644866,,0.001497584,-0.000278918,0.007898331,7.353988455
153,78380303.47,34.46982226,1.303473879,8.16E-08,10.41658291,-1654.381849,,0.001476502,-0.000340542,0.007356882,7.361345338
154,78364590.71,34.47985793,1.309754103,8.16E-08,10.45100503,-1645.225891,,0.001455506,-0.000400977,0.006824117,7.368169455
