order,P,T,L,ST,m,dgr,M_v=8e+6;g_in=44.388807120323044,,,,t
42,43423590.55,36.20758672,4.96262612,9.95E-07,8.057286432,-3146.666189,,0.004844449,0.035747172,0.021037198,0.422684284
43,44176615.73,36.2423504,4.848827952,9.50E-07,8.101507538,-3084.807629,,0.004798304,0.034387171,0.021286824,0.443971108
44,44913658.22,36.27681081,4.743309758,9.09E-07,8.145728643,-3025.748458,,0.004751905,0.033094205,0.021510174,0.465481282
45,45634934.62,36.31096058,4.645344109,8.71E-07,8.189949749,-2969.283428,,0.00470462,0.031864534,0.021707886,0.487189169
46,46340671.62,36.34478986,4.554276864,8.36E-07,8.234170854,-2915.230869,,0.004656106,0.030694163,0.021880478,0.509069647
47,47031065.53,36.37830045,4.469542495,8.03E-07,8.27839196,-2863.422709,,0.004607971,0.029577758,0.022028589,0.531098235
48,47706334.71,36.4114879,4.390624958,7.73E-07,8.322613065,-2813.708492,,0.004559357,0.028512646,0.022152819,0.553251054
49,48366717.47,36.4443446,4.317056201,7.46E-07,8.366834171,-2765.950465,,0.004509826,0.027496325,0.022254037,0.575505091
50,49012413.05,36.4768717,4.248425547,7.20E-07,8.411055276,-2720.026626,,0.004460582,0.026524121,0.022332553,0.597837644
51,49643643.98,36.50906701,4.18436039,6.96E-07,8.455276382,-2675.818048,,0.004411167,0.025594243,0.022389378,0.620227023
52,50260642.88,36.54092728,4.124519706,6.73E-07,8.499497487,-2633.225764,,0.004361434,0.024704543,0.02242537,0.642652392
53,50863620.07,36.57245166,4.068598667,6.52E-07,8.543718593,-2592.148627,,0.004311713,0.023851788,0.022440818,0.66509321
54,51452797.24,36.60363899,4.01632007,6.33E-07,8.587939698,-2552.500828,,0.004261957,0.023034298,0.022436773,0.687529984
55,52028394.76,36.63448895,3.967432053,6.14E-07,8.632160804,-2514.205089,,0.004212282,0.022250046,0.022413984,0.709943968
56,52590632.14,36.66500012,3.921703684,5.97E-07,8.67638191,-2477.180541,,0.004162536,0.021497184,0.022373046,0.732317014
57,53139715.83,36.69517558,3.878930187,5.81E-07,8.720603015,-2441.363509,,0.004113331,0.020773544,0.022314815,0.754631829
58,53675879.2,36.72501063,3.838913033,5.66E-07,8.764824121,-2406.686223,,0.004063604,0.020078599,0.022239991,0.77687182
59,54199319.85,36.75450879,3.801481946,5.51E-07,8.809045226,-2373.094855,,0.004014474,0.019409576,0.022149131,0.799020951
60,54710258.97,36.78367061,3.766475112,5.38E-07,8.853266332,-2340.528338,,0.003965536,0.018766039,0.022043443,0.821064394
61,55208899.22,36.81249744,3.733746532,5.25E-07,8.897487437,-2308.940062,,0.003916894,0.018146082,0.021923095,0.842987489
62,55695460.66,36.84098715,3.70315656,5.13E-07,8.941708543,-2278.283039,,0.003868074,0.017549204,0.021789006,0.864776496
63,56170135.76,36.8691451,3.674584437,5.02E-07,8.985929648,-2248.511851,,0.003820093,0.016973356,0.021641949,0.886418444
64,56633143.14,36.89696748,3.647909721,4.91E-07,9.030150754,-2219.584539,,0.003771702,0.016418501,0.021482317,0.907900762
65,57084672.93,36.92445973,3.62303004,4.81E-07,9.074371859,-2191.462974,,0.003724157,0.015882715,0.021311083,0.929211845
66,57524925.39,36.95162278,3.599846233,4.71E-07,9.118592965,-2164.110016,,0.00367684,0.015365518,0.021128687,0.950340532
67,57954102.78,36.97845904,3.578266643,4.62E-07,9.16281407,-2137.498365,,0.003629951,0.014866191,0.020936132,0.971276664
68,58372399.44,37.00496733,3.558204597,4.53E-07,9.207035176,-2111.584867,,0.003583005,0.014383724,0.020733244,0.992009907
69,58780006.55,37.03115331,3.539584192,4.45E-07,9.251256281,-2086.348264,,0.00353692,0.013917326,0.020521624,1.012531532
70,59177117.85,37.05701468,3.52232858,4.37E-07,9.295477387,-2061.759439,,0.003490621,0.013466446,0.020300804,1.032832336
71,59563921.83,37.08255335,3.506369768,4.30E-07,9.339698492,-2037.790093,,0.003444676,0.013030308,0.020071887,1.052904223
72,59940589.31,37.10777829,3.491650116,4.23E-07,9.383919598,-2014.415766,,0.003400031,0.012607766,0.019835922,1.072740145
73,60307315.26,37.13268653,3.478105518,4.16E-07,9.428140704,-1991.61262,,0.003355076,0.01219911,0.019592545,1.09233269
74,60664279.6,37.15727913,3.465679892,4.09E-07,9.472361809,-1969.358838,,0.003310354,0.011803348,0.01934242,1.111675111
75,61011650.11,37.18156456,3.454326598,4.03E-07,9.516582915,-1947.635364,,0.003266856,0.011419624,0.019086886,1.130761996
76,61349620.77,37.20553405,3.443987765,3.97E-07,9.56080402,-1926.419502,,0.003222266,0.011048373,0.018824642,1.149586639
77,61678348.6,37.22919928,3.434625729,3.92E-07,9.605025126,-1905.691992,,0.003179326,0.010687982,0.018558264,1.168144903
78,61998002.54,37.25256145,3.426196816,3.86E-07,9.649246231,-1885.439449,,0.00313663,0.010338471,0.018286936,1.186431839
79,62308761.4,37.27561901,3.418657897,3.81E-07,9.693467337,-1865.640542,,0.003093804,0.009999803,0.018011122,1.204442962
80,62610776.87,37.29837956,3.411975498,3.76E-07,9.737688442,-1846.276922,,0.003052077,0.009670776,0.017731807,1.222174768
81,62904221.76,37.32084198,3.406110697,3.72E-07,9.781909548,-1827.343476,,0.003010273,0.009351758,0.017448807,1.239623575
82,63189254.57,37.34300596,3.401029682,3.67E-07,9.826130653,-1808.816576,,0.002968502,0.009041999,0.01716215,1.256785725
83,63466022.32,37.36488245,3.39670564,3.63E-07,9.870351759,-1790.68402,,0.002928271,0.008740862,0.016873897,1.273659622
84,63734688.81,37.38646977,3.393106783,3.59E-07,9.914572864,-1772.933996,,0.002887883,0.008448622,0.016582833,1.290242455
85,63995406.82,37.40776885,3.390204561,3.55E-07,9.95879397,-1755.551611,,0.002847691,0.008164688,0.016289418,1.306531874
86,64248323.73,37.42878246,3.387971489,3.51E-07,10.00301508,-1738.529132,,0.002807934,0.007888663,0.015994183,1.322526057
87,64493586.57,37.44951525,3.386384578,3.48E-07,10.04723618,-1721.851246,,0.002768866,0.007620323,0.015697911,1.338223968
88,64731340.64,37.46996979,3.385420548,3.44E-07,10.09145729,-1705.508218,,0.002730203,0.007359412,0.015400486,1.353624454
89,64961735.94,37.49014511,3.385054188,3.41E-07,10.13567839,-1689.489629,,0.002691474,0.007105885,0.015101803,1.368726256
90,65184900.55,37.51004844,3.385267897,3.38E-07,10.1798995,-1673.783778,,0.00265377,0.006858887,0.014802874,1.38352913
91,65400981.68,37.52967883,3.386039108,3.35E-07,10.2241206,-1658.384939,,0.002616001,0.006618839,0.014503288,1.398032418
92,65610112.51,37.54904049,3.387349809,3.32E-07,10.26834171,-1643.279118,,0.002578848,0.00638515,0.014203785,1.412236203
93,65812425.27,37.56813683,3.389182164,3.29E-07,10.31256281,-1628.462118,,0.002542207,0.006157642,0.013904495,1.426140697
94,66008054.43,37.5869683,3.391518409,3.26E-07,10.35678392,-1613.922473,,0.00250568,0.005936243,0.013605224,1.439745921
95,66197121.41,37.60554522,3.394346955,3.24E-07,10.40100503,-1599.651588,,0.002470582,0.005720422,0.013307759,1.453053679
96,66379770.13,37.62385139,3.397639023,3.21E-07,10.44522613,-1585.6441,,0.002433379,0.005510736,0.01300778,1.46606146
97,66556108.54,37.64190765,3.401393274,3.19E-07,10.48944724,-1571.889685,,0.002399002,0.005305978,0.012711862,1.478773321
98,66726261.42,37.65971141,3.405591744,3.17E-07,10.53366834,-1558.385049,,0.002364325,0.005106547,0.012415984,1.491189305
99,66890363.6,37.67726223,3.410218169,3.14E-07,10.57788945,-1545.118802,,0.002329643,0.004912635,0.012121405,1.50331071
100,67048516.23,37.69456556,3.415262653,3.12E-07,10.62211055,-1532.088364,,0.002295729,0.004723135,0.011827996,1.515138706
101,67200845.91,37.7116228,3.420712154,3.10E-07,10.66633166,-1519.281921,,0.002262049,0.004538714,0.011536381,1.526675087
102,67347462.66,37.72843964,3.426556522,3.08E-07,10.71055276,-1506.700603,,0.002229166,0.004358789,0.011246933,1.53792202
103,67488481.42,37.74500935,3.432779053,3.07E-07,10.75477387,-1494.332071,,0.002195436,0.004183422,0.01095733,1.54887935
104,67624013.29,37.76134487,3.439375523,3.05E-07,10.79899497,-1482.173822,,0.002163463,0.00401242,0.010672061,1.559551411
105,67754164.92,37.77744442,3.446333073,3.03E-07,10.84321608,-1470.219271,,0.002131296,0.003845575,0.010387757,1.569939168
106,67879046.35,37.79331161,3.453642693,3.01E-07,10.88743719,-1458.463633,,0.002099646,0.003682919,0.010106041,1.580045209
107,67998759.96,37.808945,3.461292557,3.00E-07,10.93165829,-1446.901093,,0.002067847,0.003524158,0.009825556,1.589870765
108,68113409.77,37.82434908,3.469274876,2.98E-07,10.9758794,-1435.527429,,0.00203668,0.003369277,0.009547943,1.599418708
109,68223094.15,37.8395301,3.477583368,2.97E-07,11.0201005,-1424.337828,,0.002006375,0.003218051,0.009273502,1.60869221
110,68327915.33,37.85448573,3.486207157,2.95E-07,11.06432161,-1413.327094,,0.001975801,0.003070537,0.009000615,1.617692825
111,68427977.06,37.86922266,3.495140642,2.94E-07,11.10854271,-1402.491058,,0.001946144,0.002926727,0.008731639,1.626424464
112,68523363.46,37.88373704,3.504372019,2.93E-07,11.15276382,-1391.825934,,0.001916016,0.002785995,0.008463227,1.634887691
113,68614176.42,37.89803416,3.513896373,2.92E-07,11.19698492,-1381.324752,,0.001886617,0.002648815,0.008198631,1.643086323
