order,P,T,L_s,ST,M,a=0.3,M_c=3,,t
48,70237281.18,23.28849122,0.046712684,1.40E-08,4.161306533,0.008272805,0.025617396,1.262919878,36.91751853
49,71112956.01,23.32669909,0.04632295,1.36E-08,4.183417085,0.008196447,0.024781237,1.263762865,38.18128139
50,71970760.88,23.36460897,0.045967044,1.32E-08,4.205527638,0.008119263,0.023981365,1.263692397,39.44497379
51,72810864.03,23.40222354,0.045642834,1.29E-08,4.227638191,0.008043008,0.023210996,1.262626155,40.70759994
52,73633543.49,23.43953856,0.045348287,1.26E-08,4.249748744,0.00796619,0.022471474,1.260664502,41.96826444
53,74439032.25,23.4765566,0.045081684,1.23E-08,4.271859296,0.007890269,0.02175994,1.257857765,43.22612221
54,75227631.46,23.51327171,0.044841289,1.20E-08,4.293969849,0.007813423,0.021076734,1.25424369,44.4803659
55,75999493.85,23.54968852,0.04462564,1.18E-08,4.316080402,0.007737897,0.020416509,1.249785311,45.73015121
56,76754960.07,23.58580195,0.044433331,1.15E-08,4.338190955,0.007661625,0.019782983,1.244649906,46.97480112
57,77494176.98,23.62161591,0.044263064,1.13E-08,4.360301508,0.007586516,0.019169868,1.238733292,48.21353441
58,78217453.48,23.65712744,0.044113697,1.11E-08,4.38241206,0.007511102,0.018580297,1.232197925,49.44573234
59,78924976.62,23.69233986,0.04398418,1.09E-08,4.404522613,0.007436714,0.018010094,1.22499413,50.67072647
60,79617010.03,23.72724958,0.043873429,1.07E-08,4.426633166,0.007361881,0.017460273,1.217180349,51.88790681
61,80293768.45,23.76186021,0.043780592,1.05E-08,4.448743719,0.007288122,0.016928704,1.208806679,53.09671349
62,80955482.69,23.79617188,0.043704804,1.03E-08,4.470854271,0.007214699,0.01641497,1.199890965,54.29660446
63,81602385.08,23.83018421,0.043645257,1.01E-08,4.492964824,0.007141497,0.015918334,1.190460602,55.48706506
64,82234673.64,23.86389975,0.043601224,9.99E-09,4.515075377,0.007069128,0.01543724,1.180537076,56.66760214
65,82852616.55,23.89731713,0.043572029,9.84E-09,4.53718593,0.006996763,0.014972723,1.170198909,57.83780104
66,83456410.9,23.93043819,0.043557036,9.70E-09,4.559296482,0.006925075,0.014522418,1.15942091,58.99722195
67,84046295.74,23.96326294,0.043555658,9.56E-09,4.581407035,0.00685367,0.014086749,1.148265783,60.14548774
68,84622414.11,23.99579676,0.043567352,9.44E-09,4.603517588,0.006783669,0.01366288,1.136699854,61.28218759
69,85185050.67,24.02803625,0.043591595,9.31E-09,4.625628141,0.00671323,0.013253663,1.124835632,62.40702322
70,85734389.64,24.05998438,0.043627916,9.20E-09,4.647738693,0.006643681,0.012856224,1.112641167,63.51966439
71,86270659.95,24.09164103,0.043675866,9.09E-09,4.669849246,0.006574369,0.012471158,1.100166849,64.61983124
72,86794012.9,24.12301012,0.043735012,8.98E-09,4.691959799,0.006506136,0.012096235,1.087382484,65.70721372
73,87304675.92,24.15409422,0.04380503,8.88E-09,4.714070352,0.006438688,0.011732826,1.074398671,66.78161239
74,87802889.44,24.18488926,0.043885486,8.79E-09,4.736180905,0.006370644,0.011380834,1.061176678,67.84278907
75,88288767.64,24.21540333,0.043976067,8.70E-09,4.758291457,0.006304525,0.011037023,1.047717413,68.89050649
76,88762574.6,24.24563299,0.044076441,8.61E-09,4.78040201,0.006237933,0.010704473,1.034104599,69.92461108
77,89224478.03,24.27558146,0.04418631,8.53E-09,4.802512563,0.006172244,0.010380677,1.020312017,70.9449231
78,89674664.89,24.30525134,0.044305407,8.45E-09,4.824623116,0.006107326,0.010065777,1.006379552,71.95130265
79,90113324.51,24.33464231,0.044433434,8.37E-09,4.846733668,0.006042566,0.009759545,0.992292894,72.94359555
80,90540648.94,24.36375743,0.04457017,8.30E-09,4.868844221,0.005978663,0.009461775,0.978118204,73.92171375
81,90956814.69,24.39259715,0.044715365,8.23E-09,4.890954774,0.005915071,0.009171873,0.963819836,74.88553359
82,91361980.7,24.42116706,0.044868829,8.17E-09,4.913065327,0.005852841,0.008889221,0.949458389,75.83499198
83,91756343.75,24.44946365,0.045030292,8.10E-09,4.935175879,0.005790104,0.008614427,0.934984006,76.76997598
84,92140051.72,24.47749229,0.045199586,8.05E-09,4.957286432,0.005728672,0.008346213,0.9204629,77.69043888
85,92513338.64,24.50525337,0.045376575,7.99E-09,4.979396985,0.005667524,0.008086252,0.905966845,78.59640573
86,92876313.14,24.53274915,0.045561023,7.93E-09,5.001507538,0.005607038,0.007831632,0.891357232,79.48776296
87,93229139.98,24.55998301,0.045752786,7.88E-09,5.02361809,0.005547434,0.007583402,0.876745089,80.36450805
88,93572030.21,24.58695239,0.045951692,7.83E-09,5.045728643,0.005487501,0.007342382,0.862130698,81.22663875
89,93905141.82,24.61366265,0.046157645,7.79E-09,5.067839196,0.005428849,0.007107269,0.847558823,82.07419757
90,94228593.2,24.64011649,0.046370469,7.74E-09,5.089949749,0.005370928,0.006877072,0.832949867,82.90714744
91,94542568.25,24.66630948,0.046589972,7.70E-09,5.112060302,0.005312288,0.006653048,0.81831324,83.72546068
92,94847203.02,24.69225284,0.046816142,7.66E-09,5.134170854,0.005256102,0.006434044,0.803808123,84.5292688
93,95142691.79,24.71794012,0.047048794,7.62E-09,5.156281407,0.005198783,0.006221162,0.789285037,85.31855384
94,95429125.36,24.74338009,0.04728784,7.58E-09,5.17839196,0.005143408,0.0060121,0.774817229,86.09337107
95,95706732.51,24.7685669,0.047533157,7.55E-09,5.200502513,0.005087019,0.005809642,0.760412431,86.8537835
96,95975591.58,24.79350867,0.047784658,7.52E-09,5.222613065,0.005032431,0.005610525,0.74605595,87.59983945
97,96235870.23,24.81820493,0.048042241,7.49E-09,5.244723618,0.004977909,0.005416516,0.731767668,88.33160711
98,96487689.45,24.84266072,0.048305837,7.46E-09,5.266834171,0.004924561,0.005226546,0.717569107,89.04917622
99,96731254.84,24.8668738,0.048575376,7.43E-09,5.288944724,0.004870914,0.005042275,0.703487893,89.75266411
100,96966638.02,24.8908422,0.048850652,7.40E-09,5.311055276,0.004817023,0.004860838,0.689339283,90.4420034
101,97193998.79,24.91457632,0.049131732,7.38E-09,5.333165829,0.00476537,0.004683979,0.6754402,91.1174436
102,97413452.05,24.93807733,0.04941851,7.35E-09,5.355276382,0.004714097,0.004510691,0.66159952,91.77904312
103,97625167.99,24.9613401,0.049710868,7.33E-09,5.377386935,0.004661932,0.004342036,0.647814234,92.42685735
104,97829281.69,24.98437316,0.050008835,7.31E-09,5.399497487,0.00461162,0.004177217,0.634237302,93.06109465
105,98025852.68,25.00717399,0.050312212,7.29E-09,5.42160804,0.004560937,0.004014624,0.620605471,93.68170012
106,98215095.89,25.02974591,0.050621064,7.27E-09,5.443718593,0.004511054,0.003857368,0.607239657,94.28893978
107,98397071.18,25.05209056,0.050935257,7.25E-09,5.465829146,0.004461628,0.003702222,0.593890712,94.88283049
108,98571923.64,25.07421169,0.051254787,7.23E-09,5.487939698,0.004413081,0.003550865,0.58072265,95.46355314
109,98739771.32,25.09610709,0.051579555,7.22E-09,5.510050251,0.004364214,0.003402693,0.567614858,96.031168
