order,P,T,L_s,ST,M,M_c=5
82,71403117.71,33.44187157,1.054535543,1.33E-07,8.178643216,
83,71707611.51,33.46617739,1.054793558,1.32E-07,8.215577889,
84,72003203.17,33.49018135,1.055255761,1.30E-07,8.252512563,
85,72290068.7,33.51389808,1.055918816,1.29E-07,8.289447236,
86,72568340.01,33.53732758,1.056774617,1.28E-07,8.32638191,
87,72838189.83,33.5604711,1.057816728,1.26E-07,8.363316583,
88,73099768.79,33.58333173,1.059039201,1.25E-07,8.400251256,
89,73353231.93,33.60591115,1.060436157,1.24E-07,8.43718593,
90,73598726.44,33.62821348,1.062002576,1.23E-07,8.474120603,
91,73836415.17,33.65023746,1.063732766,1.22E-07,8.511055276,
92,74066408.05,33.67199247,1.06562245,1.21E-07,8.54798995,
93,74288871.14,33.69347514,1.067666534,1.20E-07,8.584924623,
94,74503954.55,33.71468921,1.069860826,1.19E-07,8.621859296,
95,74711796.6,33.73563643,1.072200997,1.19E-07,8.65879397,
96,74912514.16,33.75632076,1.074683066,1.18E-07,8.695728643,
97,75106249.36,33.77674548,1.077303622,1.17E-07,8.732663317,
98,75293135.47,33.79691042,1.080058409,1.16E-07,8.76959799,
99,75473290.92,33.81682044,1.082944407,1.15E-07,8.806532663,
100,75646872.82,33.83647673,1.085958534,1.15E-07,8.843467337,
101,75813977.84,33.85588154,1.089097095,1.14E-07,8.88040201,
102,75974738.71,33.8750383,1.092357485,1.13E-07,8.917336683,
103,76129285.27,33.89394614,1.095736499,1.13E-07,8.954271357,
104,76277708.32,33.91261459,1.099231886,1.12E-07,8.99120603,
105,76420153.19,33.9310388,1.102840502,1.12E-07,9.028140704,
106,76556725.3,33.94922528,1.10656044,1.11E-07,9.065075377,
107,76687538.59,33.96717406,1.110388725,1.11E-07,9.10201005,
108,76812704.74,33.98488813,1.114323226,1.10E-07,9.138944724,
109,76932460.63,34.00278737,1.118361841,1.10E-07,9.175879397,
110,77046528.01,34.01962293,1.122502494,1.09E-07,9.21281407,
111,77155398.7,34.03664849,1.12674314,1.09E-07,9.249748744,
112,77259047.55,34.0534488,1.131081761,1.08E-07,9.286683417,
113,77357576.45,34.07002559,1.135516371,1.08E-07,9.32361809,
114,77451086.12,34.08638045,1.140045009,1.08E-07,9.360552764,
115,77539676.63,34.1025197,1.144666844,1.07E-07,9.397487437,
116,77623440.78,34.11844062,1.149379079,1.07E-07,9.434422111,
117,77702478.47,34.13414896,1.15418098,1.06E-07,9.471356784,
118,77776879.71,34.1496434,1.159070174,1.06E-07,9.508291457,
119,77846738.58,34.16492855,1.164045732,1.06E-07,9.545226131,
120,77912149.16,34.1800131,1.169107588,1.06E-07,9.582160804,
121,77973191.73,34.1948829,1.174251019,1.05E-07,9.619095477,
122,78029967.94,34.20955097,1.179477071,1.05E-07,9.656030151,
123,78082532.62,34.22402063,1.184783871,1.05E-07,9.692964824,
124,78130998.94,34.23828742,1.190169701,1.05E-07,9.729899497,
125,78175444.3,34.25235995,1.195634428,1.04E-07,9.766834171,
126,78215950.01,34.2662402,1.201176938,1.04E-07,9.803768844,
127,78252589.75,34.27992257,1.206794387,1.04E-07,9.840703518,
128,78285449.61,34.29341868,1.212487783,1.04E-07,9.877638191,
129,78314601.82,34.30672417,1.218254674,1.04E-07,9.914572864,
130,78340124.13,34.31984237,1.224094367,1.03E-07,9.951507538,
131,78362088.2,34.33277465,1.230005687,1.03E-07,9.988442211,
132,78380569.83,34.34552357,1.235987775,1.03E-07,10.02537688,
133,78395641.76,34.35809215,1.242039966,1.03E-07,10.06231156,
134,78407374.56,34.37048276,1.248161445,1.03E-07,10.09924623,
135,78415834.37,34.38269367,1.254350502,1.03E-07,10.1361809,
136,78421093.69,34.39473082,1.260607203,1.03E-07,10.17311558,
137,78423215.53,34.40659325,1.266930035,1.02E-07,10.21005025,
138,78422269.36,34.41828414,1.273318498,1.02E-07,10.24698492,
139,78418318.91,34.42980604,1.279771931,1.02E-07,10.2839196,
140,78411427.76,34.4411602,1.286289422,1.02E-07,10.32085427,
141,78401657.56,34.45234714,1.292870002,1.02E-07,10.35778894,
142,78389066.99,34.46336742,1.299512586,1.02E-07,10.39472362,
143,78373732.45,34.47422539,1.306217482,1.02E-07,10.43165829,
144,78355680.35,34.48492678,1.31298354,1.02E-07,10.46859296,
145,78334995.42,34.4954648,1.319809515,1.02E-07,10.50552764,
146,78311731.82,34.5058475,1.326695658,1.02E-07,10.54246231,
147,78285939.75,34.51607293,1.333640549,1.02E-07,10.57939698,
148,78257672.11,34.52614291,1.340643258,1.02E-07,10.61633166,
149,78226991.13,34.53606148,1.347704284,1.02E-07,10.65326633,
150,78193946.28,34.5458292,1.354822362,1.02E-07,10.69020101,
151,78158590.12,34.55544766,1.361996989,1.02E-07,10.72713568,
152,78120973.42,34.56491849,1.369227514,1.02E-07,10.76407035,
153,78081147.15,34.57424346,1.376513442,1.02E-07,10.80100503,
154,78039160.79,34.58342397,1.383854057,1.02E-07,10.8379397,
155,77995058.75,34.59245945,1.39124859,1.02E-07,10.87487437,
156,77948898.41,34.60135711,1.398697372,1.02E-07,10.91180905,
157,77900713.69,34.61011102,1.406198228,1.02E-07,10.94874372,
158,77850563.63,34.61872941,1.413752286,1.02E-07,10.98567839,
159,77798482.31,34.62720791,1.421357588,1.02E-07,11.02261307,
160,77744522.39,34.63555303,1.429014871,1.02E-07,11.05954774,
161,77688723.63,34.6437632,1.436722784,1.02E-07,11.09648241,
