order,P,T,L,ST
0,808804.2135515779,31.28417182337611,3524.402678342055,0.023452612330144514
1,1603145.9988926593,31.11802773084423,859.4306910718788,0.003946903221376072
2,2583754.5673384476,31.02004013662783,324.5660978302594,0.0010930168438121148
3,3680929.985955742,30.962288678901068,158.5573421170161,0.00041560988895877193
4,4854215.527660269,30.929645338047578,90.9588104663561,0.00019391288210328437
5,6077546.196180244,30.91392557423341,58.12493641896108,0.0001040738613700971
6,7335204.453379602,30.90999334776293,40.08048657847252,6.172899283735805e-05
7,8615202.015070338,30.914763843388187,29.24433522675319,3.945835293553018e-05
8,9909153.556979116,30.92611437557877,22.28284810493422,2.6722088320039026e-05
9,11210278.069434416,30.942624892604673,17.57077057376633,1.894712515837709e-05
10,12513984.707818432,30.963178401489326,14.24314043543075,1.3942352546416025e-05
11,13816336.423750386,30.98698588929137,11.81128328366072,1.0578831567255269e-05
12,15114235.966203352,31.013438201174218,9.982663884965387,8.235488392888433e-06
13,16405199.657509172,31.04205731692654,8.574181814343072,6.55264330406166e-06
14,17687378.477825906,31.07244178450043,7.466651039287569,5.3121792614646295e-06
15,18958682.602205902,31.104340126391794,6.580633262910545,4.377264761579718e-06
16,20218101.664827585,31.137457010293712,5.860554616503967,3.6585725895542132e-06
17,21464489.635023084,31.171588504400724,5.267413394829562,3.0963428466251075e-06
18,22696882.189981833,31.206566046165467,4.77300166413078,2.6497944170449597e-06
19,23914529.20787236,31.242241970060743,4.356495967304612,2.2902471418840562e-06
20,25116809.774742093,31.278491428919523,4.002285056914847,1.997085042184958e-06
21,26303203.876272943,31.315209245091552,3.698486553316221,1.7554980131069594e-06
22,27473312.035678007,31.352301979842867,3.435918157976018,1.5544155430034278e-06
23,28627149.988276795,31.389645047146203,3.20729509361655,1.385348012284487e-06
24,29763521.036700837,31.427291734366833,3.007244587772065,1.2422180600001144e-06
25,30883011.02961105,31.46507930908172,2.830976944052371,1.120090833797617e-06
26,31985268.051020205,31.50298194337517,2.674898930929938,1.0149952995968715e-06
27,33070224.774722017,31.54094834536655,2.536023962249235,9.241573672552329e-07
28,34137802.92915878,31.578939749910738,2.41191280109331,8.45035030465205e-07
29,35187976.218143485,31.616919519786677,2.300544116119319,7.758562605439532e-07
30,36220749.61879239,31.65485517829765,2.200234395036722,7.148841775327226e-07
31,37236137.686392605,31.692719809870226,2.109575241284121,6.610896595149738e-07
32,38234200.695404425,31.730486914907537,2.02737480927953,6.132906082052476e-07
33,39215023.60210733,31.76813159530096,1.95262064286381,5.706800766040857e-07
34,40178674.88842011,31.805636884421787,1.884456129403527,5.3250235103477e-07
35,41125264.573078,31.842983482873105,1.822140919390906,4.981985393917769e-07
36,42054922.3323218,31.880153233220756,1.765038218661847,4.6729853507515934e-07
37,42967764.87488159,31.917134321160713,1.71260010167951,4.392828728270636e-07
38,43863941.16635589,31.953911918168952,1.66434696287256,4.139367454450387e-07
39,44743596.04593579,31.99047521356719,1.619862795847817,3.908375280750867e-07
40,45607123.94793978,32.02677341965738,1.578751847758078,3.6971265050390564e-07
41,46454164.173163936,32.062885953498196,1.54076162191347,3.504078544706667e-07
42,47285167.89017048,32.098757695082895,1.505572034168858,3.3271014298906767e-07
43,48100372.23190855,32.134369898450196,1.472925024517372,3.16447603343419e-07
44,48899885.387539364,32.169728678999185,1.442607788306719,3.0142633171426625e-07
45,49683933.38107245,32.20482023886618,1.414417296288509,2.875600766595327e-07
46,50452680.56082045,32.23964291706342,1.388179914922602,2.7473356749309313e-07
47,51206326.76705788,32.27419024654374,1.363736445765116,2.628442172886353e-07
48,51945050.815027624,32.3084596154936,1.340946688861834,2.517661376066697e-07
49,52669042.0817461,32.34244861250932,1.319683373495253,2.414951113002757e-07
50,53378490.985258855,32.37615429179191,1.299832247217785,2.3188748484893308e-07
51,54073593.93160275,32.409573335362516,1.281289045630856,2.229173578621568e-07
52,54754549.014763735,32.442703163868906,1.263959633559194,2.145294022591859e-07
53,55421534.75347434,32.47554499438789,1.24776029516081,2.0667185652158517e-07
54,56074782.885886505,32.50808869732966,1.232609575443192,1.9927295634211633e-07
55,56714444.233285986,32.540343119261216,1.218441607293981,1.9234913870545414e-07
56,57340717.61009368,32.57230652755839,1.205191380895196,1.8583672002487555e-07
57,57953843.93620896,32.60396519392862,1.192794670341048,1.7967392399404828e-07
58,58553951.59582406,32.6353351814717,1.181204532550781,1.7388738272366242e-07
59,59141272.10762138,32.66640523132022,1.170367050621651,1.6842215443695396e-07
