order,P,T,L,ST
0,808804.2367186066,31.284171842502804,3524.402678342055,0.023452613728029308
1,1603146.0148151056,31.11802772423097,859.4306910718788,0.003946903221376072
2,2583754.5228953776,31.020040107127382,324.5660978302594,0.0010930168438121148
3,3680929.974809612,30.96228867815823,158.5573421170161,0.00041560988895877193
4,4854215.509265414,30.92964532700237,90.9588104663561,0.00019391325207001459
5,6077546.21372837,30.913925571495486,58.12493641896108,0.0001040738613700971
6,7335204.540728969,30.909993359683515,40.08048657847252,6.172922857646677e-05
7,8615202.019595776,30.91476388904647,29.24433522675319,3.945835293553018e-05
8,9909153.254532967,30.926114440920855,22.28284810493422,2.6722292736124213e-05
9,11210277.683165303,30.94262491110304,17.57077057376633,1.8947270228129543e-05
10,12513984.536680823,30.96317845823757,14.24314043543075,1.3942352546416025e-05
11,13816336.823563986,30.98698592040316,11.81128328366072,1.0578831567255269e-05
12,15114235.890502874,31.013438271076627,9.982663884965387,8.235615075169238e-06
13,16405200.082220322,31.042057342213464,8.574181814343072,6.552744289517977e-06
14,17687378.369757365,31.072441851400956,7.466651039287569,5.3121792614646295e-06
15,18958683.12148516,31.104340045860045,6.580633262910545,4.3774002764170786e-06
16,20218102.521222066,31.137456945259466,5.860554616503967,3.6586861357690903e-06
17,21464489.825677592,31.171588501834982,5.267413394829562,3.0964391948482342e-06
18,22696882.497516986,31.206566085367708,4.77300166413078,2.649877104257624e-06
19,23914530.044541158,31.24224202213271,4.356495967304612,2.2903188196238496e-06
20,25116810.103388455,31.278491483568644,4.002285056914847,1.9972104478390984e-06
21,26303203.97746468,31.315209318312114,3.698486553316221,1.755608616560406e-06
22,27473312.51156086,31.35230208908285,3.435918157976018,1.5544155430034278e-06
23,28627150.49464219,31.389645040740547,3.20729509361655,1.385435920655087e-06
24,29763521.87402552,31.4272917495131,3.007244587772065,1.2422971872094907e-06
25,30883011.505865697,31.46507940469272,2.830976944052371,1.120090833797617e-06
