order,P,T,L,ST
0,808804.2500983152,31.284171863340724,3524.402678342055,0.023452612330144514
1,1603145.9742406292,31.11802773334027,859.4306910718788,0.003946902280354507
2,2583754.513340325,31.02004007828556,324.5660978302594,0.0010930158013877727
3,3680929.9224714558,30.962288672403346,158.5573421170161,0.00041560909614299043
4,4854215.566417431,30.929645312624345,90.9588104663561,0.00019391177220309374
5,6077546.282660316,30.913925588663226,58.12493641896108,0.00010407227228029143
6,7335204.418088783,30.909993319598716,40.08048657847252,6.17275784027057e-05
7,8615202.21324901,30.914763895420144,29.24433522675319,3.945684502678289e-05
8,9909153.382000968,30.926114444336417,22.28284810493422,2.6720657407442708e-05
9,11210277.823666818,30.94262498891813,17.57077057376633,1.894567446085258e-05
10,12513984.435247837,30.96317844276266,14.24314043543075,1.3940856012369795e-05
11,13816336.938782746,30.986985924421315,11.81128328366072,1.0577369550055163e-05
12,15114235.628204795,31.013438292324558,9.982663884965387,8.233672614174556e-06
13,16405200.696754282,31.04205728829781,8.574181814343072,6.551330493129533e-06
14,17687378.36739854,31.072441888333714,7.466651039287569,5.310866558860944e-06
15,18958682.94502016,31.10434009239312,6.580633262910545,4.3760451280434735e-06
16,20218102.934609253,31.137456991790874,5.860554616503967,3.657323581190565e-06
17,21464489.859864507,31.17158857385867,5.267413394829562,3.09509031972446e-06
18,22696882.348964196,31.206566119755244,4.77300166413078,2.648636796067657e-06
19,23914530.044510875,31.242241946607145,4.356495967304612,2.289100298047359e-06
20,25116810.080107696,31.27849141676147,4.002285056914847,1.995956391297695e-06
21,26303203.715465296,31.315209303843087,3.698486553316221,1.7543919785724918e-06
22,27473312.22774623,31.352302083302554,3.435918157976018,1.5532362431035706e-06
23,28627149.4828292,31.389645196905462,3.20729509361655,1.3842931118372878e-06
24,29763521.400659956,31.42729179931979,3.007244587772065,1.241189406278221e-06
25,30883011.7639137,31.465079375506775,2.830976944052371,1.1190164404924013e-06
26,31985269.009334195,31.50298199843287,2.674898930929938,1.0140176504930407e-06
27,33070225.474776566,31.54094841183302,2.536023962249235,9.23144298178412e-07
28,34137803.88737063,31.578939730454458,2.41191280109331,8.440498859996367e-07
29,35187975.53535774,31.616919665637898,2.300544116119319,7.748468196637243e-07
30,36220751.227174014,31.654855039169227,2.200234395036722,7.139496884117648e-07
31,37236137.85448965,31.6927200218728,2.109575241284121,6.601346412925474e-07
32,38234199.67432668,31.730487194367537,2.02737480927953,6.123194433466486e-07
33,39215024.04621518,31.76813146496716,1.95262064286381,5.697341144031109e-07
34,40178673.07433272,31.805637225400815,1.884456129403527,5.315797160136517e-07
35,41125265.78662852,31.842983520159777,1.822140919390906,4.97297517182414e-07
36,42054923.179320715,31.8801533687948,1.765038218661847,4.6641755211110704e-07
37,42967764.270183854,31.917134392197994,1.71260010167951,4.384502218360564e-07
38,43863942.29960703,31.953912053819526,1.66434696287256,4.130352907115257e-07
39,44743597.59121989,31.990475494641284,1.619862795847817,3.8998171851586936e-07
40,45607124.8389398,32.02677363738257,1.578751847758078,3.688476470551627e-07
41,46454165.406038985,32.06288594191673,1.54076162191347,3.495833654013239e-07
42,47285167.39215318,32.098758036257095,1.505572034168858,3.3187651512523095e-07
43,48100371.91929229,32.13436994820168,1.472925024517372,3.1560586955320135e-07
44,48899886.16327068,32.1697287844629,1.442607788306719,3.0061981146323523e-07
45,49683933.265993215,32.20482028225234,1.414417296288509,2.867453434773269e-07
46,50452680.57834095,32.23964309014338,1.388179914922602,2.7391136357156604e-07
47,51206326.67615248,32.27419020947101,1.363736445765116,2.6205285835486306e-07
48,51945051.34817556,32.308459767121356,1.340946688861834,2.509671106263831e-07
49,52669043.24198205,32.34244840728079,1.319683373495253,2.4068895925965065e-07
50,53378492.357099235,32.3761543064232,1.299832247217785,2.3110854339259815e-07
51,54073595.32737289,32.40957315697595,1.281289045630856,2.2213105324888642e-07
52,54754549.30473103,32.442703382322705,1.263959633559194,2.137361416384967e-07
53,55421535.92436294,32.47554492851254,1.24776029516081,2.0590275910970073e-07
54,56074784.419564165,32.508088795875935,1.232609575443192,1.985265038535708e-07
55,56714443.82843824,32.540343146413555,1.218441607293981,1.915949421127318e-07
56,57340717.26949653,32.57230661249328,1.205191380895196,1.851033024898654e-07
57,57953844.35487006,32.60396518201845,1.192794670341048,1.7896006060409637e-07
58,58553951.37540775,32.635334846522795,1.181204532550781,1.7316519239393796e-07
59,59141274.21061283,32.66640528868425,1.170367050621651,1.6769192521362868e-07
60,59715965.40794551,32.69718472554696,1.160240367739379,1.6251627884804558e-07
61,60278252.35799809,32.7276637619157,1.150778828831781,1.5761717381820563e-07
62,60828303.81700523,32.75784702694445,1.141945619845531,1.529713031795066e-07
63,61366307.96975668,32.787734830538255,1.13370525773296,1.4856343885933576e-07
64,61892446.72676066,32.81732720902291,1.126024624081068,1.4437653535279203e-07
65,62406896.15163638,32.84662801033649,1.118874434229357,1.4039470258147214e-07
66,62909853.29288824,32.8756330146858,1.112224734230128,1.3662649963602167e-07
67,63401481.54212697,32.904347423690005,1.106050969898569,1.3301429678777152e-07
68,63882106.900609426,32.93272248623792,1.100312026695356,1.2958791910609125e-07
69,64351576.629333,32.96086885671602,1.095022352052447,1.2629894420925175e-07
70,64810295.394824445,32.988712267128,1.090135352585242,1.2317609663037795e-07
71,65258385.68622962,33.01626876597119,1.085636567741059,1.2018949767457788e-07
72,65696000.97200924,33.04354817892766,1.081510060005912,1.1731081946554857e-07
73,66123359.040415406,33.07053040649424,1.077732292000505,1.1459216807160988e-07
74,66540580.60336045,33.09723601428416,1.074293050472056,1.1194660439433284e-07
75,66947862.28943018,33.123652405983485,1.07117323734468,1.0944590698430017e-07
76,67345342.17627929,33.149793608366885,1.068362432483512,1.0702579007775219e-07
77,67733184.36826043,33.175655317338354,1.065845931894782,1.04699636351136e-07
78,68111552.80825062,33.201239536013865,1.063611442984833,1.0248074655407323e-07
79,68480610.45574406,33.226542845444534,1.061645831979081,1.0034497743625646e-07
80,68840495.69161071,33.25157455179592,1.059940715813457,9.828753039507528e-08
81,69191362.06786503,33.27633596413462,1.058485328547148,9.630488365342423e-08
82,69533363.8389309,33.30082738839597,1.057269759779247,9.439226866133807e-08
83,69866644.68492979,33.3250507159579,1.056284989051909,9.254634684229962e-08
84,70191347.06510848,33.34901080570846,1.0555233022922,9.076363426799719e-08
85,70507640.56619616,33.37269362142914,1.054972137531747,8.90568372689932e-08
86,70815624.40323584,33.39612910489671,1.054631559425241,8.740707618659029e-08
87,71115474.69290721,33.41928932598196,1.054486403836791,8.579381132680288e-08
88,71407306.45330396,33.442200901386926,1.054536104306457,8.426425591433186e-08
89,71691261.31527716,33.46485580594223,1.054771887392645,8.276647099283803e-08
90,71967471.94750497,33.487257369286745,1.055187814950364,8.131467952716658e-08
91,72236081.48946865,33.509398934757016,1.05577579769038,7.992186760749575e-08
92,72497200.21729249,33.53129884320219,1.056534651031327,7.857051615215454e-08
93,72750972.4217992,33.55294572619545,1.057455649169922,7.72428960273767e-08
94,72997519.16954929,33.574344435646424,1.058534615328921,7.596803434632885e-08
95,73236964.02448687,33.59550023485062,1.059767622621479,7.474418344166024e-08
96,73469430.05013369,33.61641120591205,1.061149232179905,7.35387629395013e-08
97,73695034.67387207,33.63708411421154,1.062676228522515,7.236580333735202e-08
98,73913900.07996467,33.65751668387852,1.064343521896538,7.122359121158722e-08
99,74126141.78018413,33.677712943191395,1.066147915667193,7.01405223113452e-08
100,74331876.41157725,33.69767505370074,1.068085564116971,6.905579893136696e-08
101,74531224.02730958,33.71738814413978,1.070148898508073,6.802675668772208e-08
102,74724273.55098939,33.736901583573555,1.07234608189605,6.700927003380261e-08
103,74911155.84301208,33.75617095152511,1.074662594669371,6.601583764288005e-08
104,75091976.03891733,33.775208326281,1.077097963442738,6.505986281031503e-08
