order,P,T,L,ST,m,dgr,M_v=8e+6
77,67733183.31,33.17565509,1.065845932,1.52E-07,7.800502513,-7.913720283,
78,68111551.34,33.20123971,1.063611443,1.50E-07,7.834924623,-7.831414322,
79,68480610.43,33.2265425,1.061645832,1.48E-07,7.869346734,-7.750909605,
80,68840495.85,33.25157468,1.059940716,1.46E-07,7.903768844,-7.672150882,
81,69191362.55,33.2763363,1.058485329,1.44E-07,7.938190955,-7.595075556,
82,69533362.56,33.30082745,1.05726976,1.42E-07,7.972613065,-7.519612066,
83,69866643.5,33.3250505,1.056284989,1.41E-07,8.007035176,-7.445761905,
84,70191346.49,33.3490107,1.055523302,1.39E-07,8.041457286,-7.373421464,
85,70507638.71,33.3726933,1.054972138,1.37E-07,8.075879397,-7.302554237,
86,70815622.09,33.39612903,1.054631559,1.36E-07,8.110301508,-7.233122294,
87,71115478.42,33.4192893,1.054486404,1.34E-07,8.144723618,-7.165075568,
88,71407306.26,33.44220055,1.054536104,1.33E-07,8.179145729,-7.09837659,
89,71691260.17,33.46485562,1.054771887,1.32E-07,8.213567839,-7.032977718,
90,72016988.49,33.12244172,1.055187815,1.31E-07,8.24798995,-6.968848471,
91,72236080.45,33.50939871,1.055775798,1.29E-07,8.28241206,-6.905942588,
92,72497199.4,33.53129885,1.056534651,1.28E-07,8.316834171,-6.844231651,
93,72750972.03,33.55294563,1.057455649,1.27E-07,8.351256281,-6.783674362,
94,72997520.82,33.57434437,1.058534615,1.26E-07,8.385678392,-6.724242323,
95,73236962.58,33.59550034,1.059767623,1.25E-07,8.420100503,-6.665906389,
96,73469428.03,33.61641127,1.061149232,1.24E-07,8.454522613,-6.608631066,
97,73695034.02,33.63708418,1.062676229,1.23E-07,8.488944724,-6.552386145,
98,73913900.43,33.65751668,1.064343522,1.22E-07,8.523366834,-6.497148452,
99,74126142.52,33.67771308,1.066147916,1.21E-07,8.557788945,-6.442883195,
100,74331875.96,33.69767506,1.068085564,1.20E-07,8.592211055,-6.389572376,
101,74531224.58,33.71738792,1.070148899,1.19E-07,8.626633166,-6.337187254,
102,74724272.27,33.73690158,1.072346082,1.18E-07,8.661055276,-6.285699556,
103,74911154.48,33.75617079,1.074662595,1.18E-07,8.695477387,-6.235095093,
104,75091976.86,33.77520858,1.077097963,1.17E-07,8.729899497,-6.185342758,
105,75266824.13,33.79405535,1.079658454,1.16E-07,8.764321608,-6.136413455,
106,75435843.09,33.8126223,1.082319621,1.16E-07,8.798743719,-6.088307755,
107,75599100.72,33.83099592,1.085099019,1.15E-07,8.833165829,-6.040986484,
108,75756710.28,33.84915083,1.087987369,1.14E-07,8.86758794,-5.994437624,
109,75908772.67,33.8670826,1.090980856,1.14E-07,8.90201005,-5.948641636,
110,76055385.37,33.88480883,1.094080763,1.13E-07,8.936432161,-5.903578844,
111,76196644.24,33.90231738,1.097281525,1.13E-07,8.970854271,-5.859230081,
112,76332651.7,33.91966444,1.100593283,1.12E-07,9.005276382,-5.815577321,
113,76463494.52,33.93675884,1.103992804,1.11E-07,9.039698492,-5.772609384,
114,76589268.86,33.9536457,1.107488052,1.11E-07,9.074120603,-5.730302295,
115,76710064.75,33.9703272,1.111076952,1.11E-07,9.108542714,-5.688648083,
116,76825969.42,33.98680515,1.114757784,1.10E-07,9.142964824,-5.647626257,
117,76937077.87,34.00308207,1.118528851,1.10E-07,9.177386935,-5.607224441,
118,77043472.58,34.01915981,1.122388481,1.09E-07,9.211809045,-5.567427181,
119,77145236.04,34.03503984,1.126335013,1.09E-07,9.246231156,-5.528220646,
120,77242458.07,34.05072438,1.130366811,1.08E-07,9.280653266,-5.489591358,
121,77335215.78,34.06621431,1.134482262,1.08E-07,9.315075377,-5.451524598,
122,77423597.43,34.08151165,1.138679812,1.08E-07,9.349497487,-5.414012281,
123,77507679.62,34.09661996,1.142958419,1.07E-07,9.383919598,-5.377037999,
124,77587540.44,34.11153952,1.147316548,1.07E-07,9.418341709,-5.340588683,
125,77663256.29,34.12627061,1.151752553,1.07E-07,9.452763819,-5.304660779,
126,77734908.2,34.14081927,1.15626584,1.06E-07,9.48718593,-5.269227873,
127,77802567.96,34.1551842,1.160854702,1.06E-07,9.52160804,-5.234293013,
128,77866311.17,34.16936754,1.165518078,1.06E-07,9.556030151,-5.199843503,
129,77926206.63,34.18337162,1.170254893,1.05E-07,9.590452261,-5.165864227,
130,77982332.9,34.19719609,1.175063367,1.05E-07,9.624874372,-5.132347148,
131,78034755.36,34.21084492,1.179943195,1.05E-07,9.659296482,-5.099284256,
132,78083539.7,34.22431845,1.184893051,1.05E-07,9.693718593,-5.066663879,
133,78128763.59,34.23761956,1.18991194,1.05E-07,9.728140704,-5.034477734,
134,78170488.31,34.25074861,1.194998766,1.04E-07,9.762562814,-5.002712119,
135,78208782.91,34.2637116,1.200153416,1.04E-07,9.796984925,-4.971363852,
136,78243707.77,34.27650409,1.205373977,1.04E-07,9.831407035,-4.940429036,
137,78275335.32,34.28913575,1.21066084,1.04E-07,9.865829146,-4.909890116,
138,78303717.07,34.30159361,1.216010089,1.04E-07,9.900251256,-4.879739997,
139,78328919.72,34.31389219,1.221424016,1.03E-07,9.934673367,-4.849974081,
140,78351004.8,34.32602884,1.226900439,1.03E-07,9.969095477,-4.820585784,
141,78370034.18,34.33800807,1.23243934,1.03E-07,10.00351759,-4.791562255,
142,78386059.1,34.34982435,1.238038674,1.03E-07,10.0379397,-4.762903016,
143,78399145.2,34.36148694,1.243698957,1.03E-07,10.07236181,-4.734595112,
144,78409348.43,34.37299489,1.249419135,1.03E-07,10.10678392,-4.706637963,
145,78416719.72,34.38434741,1.255197916,1.03E-07,10.14120603,-4.679016646,
146,78421321.03,34.39554945,1.261035371,1.03E-07,10.17562814,-4.651732556,
147,78423203.28,34.40659965,1.266930241,1.02E-07,10.21005025,-4.624772829,
