order,P,T,L,ST,m,dgr,M_v=8e+6,,,,t
42,47285169.3,32.09875785,1.505572034,3.79E-07,6.595728643,-12.68404003,,0.005590826,0.035462961,0.055826839,1.145790266
43,48100373.59,32.13437002,1.472925025,3.63E-07,6.630150754,-12.44643967,,0.005544209,0.034188151,0.0565327,1.202322967
44,48899885.71,32.16972888,1.442607788,3.48E-07,6.664572864,-12.2189283,,0.005498695,0.032971724,0.057175432,1.259498398
45,49683933.27,32.20482039,1.414417296,3.34E-07,6.698994975,-12.00080584,,0.005451149,0.031814436,0.057758416,1.317256815
46,50452681.67,32.23964301,1.388179915,3.21E-07,6.733417085,-11.79144236,,0.00540351,0.030709794,0.058281659,1.375538474
47,51206327.36,32.27419012,1.363736446,3.09E-07,6.767839196,-11.59026575,,0.005354994,0.029655497,0.058746844,1.434285318
48,51945050.98,32.30845972,1.340946689,2.98E-07,6.802261307,-11.3967608,,0.005306318,0.028647664,0.059155195,1.493440513
49,52669041.36,32.34244828,1.319683373,2.87E-07,6.836683417,-11.21044435,,0.005257246,0.027683653,0.059508013,1.552948526
50,53378491.17,32.37615439,1.299832247,2.77E-07,6.871105528,-11.03087669,,0.005208104,0.026760889,0.059807385,1.612755911
51,54073594.28,32.40957334,1.281289046,2.68E-07,6.905527638,-10.85766993,,0.005158382,0.025876918,0.060053788,1.672809699
52,54754549.59,32.4427033,1.263959634,2.60E-07,6.939949749,-10.6904474,,0.005108529,0.025029627,0.060249832,1.73305953
53,55421535.51,32.47554518,1.247760295,2.52E-07,6.974371859,-10.52889367,,0.00505896,0.024216158,0.060396268,1.793455798
54,56074782.84,32.50808888,1.232609575,2.45E-07,7.00879397,-10.37266482,,0.005007986,0.02343646,0.060495046,1.853950844
55,56714445.4,32.54034336,1.218441607,2.38E-07,7.04321608,-10.22149784,,0.004958535,0.022685966,0.060548019,1.914498863
56,57340715.26,32.57230645,1.205191381,2.31E-07,7.077638191,-10.07512087,,0.004908892,0.021964416,0.060555899,1.975054762
57,57953842.92,32.60396515,1.19279467,2.25E-07,7.112060302,-9.933294956,,0.004857398,0.021272296,0.060521204,2.035575967
58,58553951.32,32.63533487,1.181204533,2.19E-07,7.146482412,-9.795781834,,0.00480841,0.020603748,0.060445305,2.096021271
59,59141271.3,32.66640502,1.170367051,2.14E-07,7.180904523,-9.662377592,,0.004757937,0.019961205,0.060329102,2.156350373
60,59715963.82,32.69718485,1.160240368,2.08E-07,7.215326633,-9.532885819,,0.004709019,0.019341051,0.060175786,2.216526159
61,60278250.83,32.72766379,1.150778829,2.04E-07,7.249748744,-9.407121704,,0.004658619,0.018744216,0.059984528,2.276510687
62,60828303.86,32.75784684,1.14194562,1.99E-07,7.284170854,-9.284903606,,0.004609119,0.018167947,0.059758699,2.336269386
63,61366307.04,32.78773456,1.133705258,1.95E-07,7.318592965,-9.166087604,,0.004559839,0.017611697,0.059499175,2.395768561
64,61892446.18,32.8173271,1.126024624,1.90E-07,7.353015075,-9.050515891,,0.004510711,0.017074608,0.059207481,2.454976042
65,62406896.68,32.84662795,1.118874434,1.87E-07,7.387437186,-8.938040043,,0.004462244,0.016555496,0.058885625,2.513861667
66,62909851.26,32.87563264,1.112224734,1.83E-07,7.421859296,-8.828546897,,0.004413222,0.016054125,0.058533321,2.572394989
67,63401478.46,32.90434715,1.10605097,1.79E-07,7.456281407,-8.721893921,,0.004365237,0.01556898,0.058154391,2.63054938
68,63882105.08,32.93272265,1.100312027,1.76E-07,7.490703518,-8.617967754,,0.004309958,0.015104335,0.057740944,2.688290324
69,64351576.96,32.96086887,1.095022352,1.73E-07,7.525125628,-8.516675256,,0.004271467,0.014644457,0.05732055,2.745610874
70,64810295.12,32.98871198,1.090135353,1.70E-07,7.559547739,-8.417889864,,0.004221879,0.014206172,0.056862984,2.802473859
71,65258385.02,33.01626883,1.085636568,1.67E-07,7.593969849,-8.32153533,,0.004174965,0.013780265,0.056385798,2.858859656
72,65695999.14,33.04354814,1.08151006,1.64E-07,7.62839196,-8.227503978,,0.004129486,0.013367067,0.055889081,2.914748737
73,66123357.67,33.0705305,1.077732292,1.61E-07,7.66281407,-8.135705762,,0.004081184,0.012968142,0.055367293,2.97011603
74,66540580.39,33.097236,1.07429305,1.59E-07,7.697236181,-8.046061227,,0.004036028,0.012579963,0.054831184,3.024947214
75,66947862.65,33.12365232,1.071173237,1.56E-07,7.731658291,-7.95850333,,0.003989124,0.012204384,0.054273516,3.07922073
76,67345340.36,33.14979342,1.068362432,1.54E-07,7.766080402,-7.872940197,,0.00394443,0.011839205,0.053702797,3.132923527
77,67733183.55,33.17565522,1.065845932,1.52E-07,7.800502513,-7.789307179,,0.003899228,0.011485064,0.053114534,3.186038061
78,68111549.8,33.20123914,1.063611443,1.50E-07,7.834924623,-7.707545109,,0.003854343,0.011141225,0.052511535,3.238549596
79,68480610.06,33.22654269,1.061645832,1.48E-07,7.869346734,-7.627577309,,0.003809182,0.010807735,0.051894319,3.290443915
