order,P,T,L,ST,m,dgr,M_v=8e+6,,,,t
42,47285167.53,32.0987581,1.505572034,3.55E-07,6.595728643,-2133.596506,,0.005590891,0.035462931,0.059626585,1.2150865
43,48100374.47,32.13437008,1.472925025,3.40E-07,6.630150754,-2093.893427,,0.005544179,0.034188263,0.06039417,1.27548067
44,48899885.41,32.16972892,1.442607788,3.25E-07,6.664572864,-2055.876032,,0.005498693,0.032971675,0.061092665,1.336573336
45,49683932.71,32.20482048,1.414417296,3.12E-07,6.698994975,-2019.420999,,0.005451155,0.031814426,0.061726209,1.398299545
46,50452679.39,32.23964297,1.388179915,3.00E-07,6.733417085,-1984.434641,,0.00540349,0.030709726,0.062294285,1.46059383
47,51206327.44,32.27419021,1.363736446,2.89E-07,6.767839196,-1950.809611,,0.005355014,0.029655591,0.062799417,1.523393247
48,51945050.11,32.30845989,1.340946689,2.78E-07,6.802261307,-1918.461863,,0.005306332,0.028647627,0.063241805,1.586635053
49,52669042.54,32.34244863,1.319683373,2.69E-07,6.836683417,-1887.309831,,0.005257273,0.027683731,0.063623938,1.650258991
50,53378491,32.37615408,1.299832247,2.59E-07,6.871105528,-1857.298464,,0.005208001,0.026760838,0.063946865,1.714205855
51,54073594.88,32.40957327,1.281289046,2.51E-07,6.905527638,-1828.329763,,0.005158421,0.025876946,0.064212787,1.778418642
52,54754550.02,32.44270327,1.263959634,2.43E-07,6.939949749,-1800.376513,,0.005108534,0.025029621,0.064423008,1.842841651
53,55421536.43,32.47554511,1.247760295,2.36E-07,6.974371859,-1773.3513,,0.005058955,0.024216175,0.064579145,1.907420796
54,56074784.65,32.50808872,1.232609575,2.29E-07,7.00879397,-1747.224943,,0.005007971,0.023436492,0.064683127,1.972103923
55,56714444.84,32.54034341,1.218441607,2.22E-07,7.04321608,-1721.9414,,0.004958566,0.022685881,0.064736831,2.036840753
56,57340717.37,32.57230642,1.205191381,2.16E-07,7.077638191,-1697.458778,,0.004908881,0.021964509,0.064741731,2.101582484
57,57953843.4,32.6039649,1.19279467,2.10E-07,7.112060302,-1673.726504,,0.004857364,0.021272239,0.064699357,2.166281842
58,58553953.44,32.63533467,1.181204533,2.05E-07,7.146482412,-1650.726292,,0.004808417,0.020603805,0.064612792,2.230894633
59,59141274.98,32.66640522,1.170367051,2.00E-07,7.180904523,-1628.406408,,0.004757998,0.019961257,0.064482006,2.295376639
60,59715966.01,32.69718467,1.160240368,1.95E-07,7.215326633,-1606.744379,,0.00470896,0.019341,0.064310001,2.35968664
61,60278251.53,32.72766385,1.150778829,1.91E-07,7.249748744,-1585.692553,,0.004658656,0.018744166,0.064097517,2.423784157
62,60828305.43,32.75784694,1.14194562,1.86E-07,7.284170854,-1565.241109,,0.004609126,0.018167976,0.063847229,2.487631387
63,61366305.94,32.78773506,1.133705258,1.82E-07,7.318592965,-1545.351558,,0.004559899,0.017611609,0.063559976,2.551191363
64,61892446.17,32.81732725,1.126024624,1.78E-07,7.353015075,-1526.008223,,0.004510658,0.017074643,0.063237974,2.614429337
65,62406897.06,32.84662778,1.118874434,1.75E-07,7.387437186,-1507.180673,,0.004462194,0.016555509,0.06288314,2.677312477
66,62909852.69,32.87563309,1.112224734,1.71E-07,7.421859296,-1488.852376,,0.004413317,0.016054158,0.062495883,2.739808359
67,63401481.42,32.90434751,1.10605097,1.68E-07,7.456281407,-1470.998799,,0.004365223,0.015569028,0.062079012,2.801887371
68,63882107.5,32.93272277,1.100312027,1.65E-07,7.490703518,-1453.601435,,0.004309923,0.015104318,0.06162496,2.863512331
69,64351578.34,32.96086898,1.095022352,1.62E-07,7.525125628,-1436.637386,,0.004271464,0.014644424,0.061163453,2.924675784
70,64810295.55,32.98871207,1.090135353,1.59E-07,7.559547739,-1420.096439,,0.004221877,0.014206142,0.060661982,2.985337766
71,65258385.9,33.01626893,1.085636568,1.56E-07,7.593969849,-1403.959865,,0.004174966,0.013780279,0.060139534,3.0454773
72,65695999.81,33.04354793,1.08151006,1.54E-07,7.62839196,-1388.209658,,0.00412944,0.01336706,0.059595688,3.105072987
73,66123358.32,33.07053053,1.077732292,1.51E-07,7.66281407,-1372.836827,,0.00408122,0.012968141,0.059025537,3.164098524
